age,age_cat,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,decile_score,two_year_recid
32,25 - 45,Female,African-American,5,-1.0,F,0,Medium,7,0
52,Greater than 45,Male,Hispanic,2,-1.0,M,0,Low,1,0
62,Greater than 45,Male,African-American,8,0.0,F,0,Low,4,0
31,25 - 45,Male,Hispanic,8,29.0,F,1,High,9,1
28,25 - 45,Male,African-American,6,-1.0,M,1,Medium,6,1
54,Greater than 45,Male,Hispanic,2,-1.0,F,0,Low,1,0
58,Greater than 45,Male,Hispanic,0,-1.0,F,0,Low,2,0
78,Greater than 45,Male,Caucasian,1,-1.0,M,1,Low,1,1
56,Greater than 45,Male,Caucasian,0,-1.0,F,0,Low,1,0
24,Less than 25,Male,Other,0,-1.0,F,0,Low,2,0
22,Less than 25,Male,African-American,1,0.0,F,1,Medium,5,1
47,Greater than 45,Male,African-American,23,-1.0,M,1,High,8,1
23,Less than 25,Male,African-American,0,-1.0,M,1,Low,2,1
57,Greater than 45,Male,Hispanic,1,0.0,F,0,Low,1,0
66,Greater than 45,Male,African-American,3,-10.0,F,1,Low,1,0
45,Greater than 45,Male,Caucasian,8,0.0,M,1,Low,4,1
37,25 - 45,Male,African-American,2,0.0,M,1,High,9,1
39,25 - 45,Male,Caucasian,0,0.0,F,1,Low,4,1
26,25 - 45,Male,African-American,9,0.0,F,1,High,9,1
45,Greater than 45,Male,Caucasian,2,-1.0,F,0,Low,3,0
23,Less than 25,Male,African-American,0,-1.0,F,1,Low,3,1
34,25 - 45,Male,African-American,2,0.0,M,1,Low,2,0
23,Less than 25,Female,African-American,1,-1.0,M,0,Low,4,0
36,25 - 45,Male,Other,2,-1.0,M,1,Low,3,1
50,Greater than 45,Male,Caucasian,1,-4.0,F,0,Low,1,0
37,25 - 45,Female,Caucasian,0,-1.0,M,0,Low,3,0
44,25 - 45,Male,Caucasian,4,0.0,M,0,Low,4,0
35,25 - 45,Female,African-American,23,-1.0,F,1,High,9,1
24,Less than 25,Male,Other,5,-1.0,F,1,Medium,5,1
26,25 - 45,Male,African-American,2,-1.0,F,1,High,10,1
27,25 - 45,Male,African-American,0,-1.0,M,0,Low,2,0
28,25 - 45,Female,African-American,0,0.0,F,0,High,8,0
28,25 - 45,Female,Caucasian,7,-1.0,F,1,High,9,1
38,25 - 45,Male,African-American,2,-1.0,F,0,Low,1,0
28,25 - 45,Female,African-American,1,-1.0,F,0,High,9,0
56,Greater than 45,Male,Caucasian,7,-1.0,F,1,Low,1,1
38,25 - 45,Male,African-American,15,-1.0,F,0,High,9,0
28,25 - 45,Male,African-American,2,-1.0,M,0,Medium,5,0
51,Greater than 45,Female,Caucasian,0,-1.0,M,1,Low,1,1
51,Greater than 45,Male,Caucasian,0,-1.0,M,0,Low,2,0
36,25 - 45,Male,Other,1,-1.0,M,1,Low,1,1
48,Greater than 45,Male,African-American,0,-1.0,F,0,Low,1,0
37,25 - 45,Male,Caucasian,4,0.0,F,1,Low,3,1
30,25 - 45,Female,African-American,2,-1.0,F,0,Medium,7,0
41,25 - 45,Female,African-American,5,0.0,M,0,Medium,6,0
27,25 - 45,Male,African-American,11,-1.0,F,1,High,10,1
37,25 - 45,Male,African-American,0,-1.0,M,1,Low,1,0
33,25 - 45,Male,Other,4,0.0,F,1,Low,4,1
54,Greater than 45,Male,African-American,11,-1.0,F,0,High,9,0
23,Less than 25,Male,African-American,2,-1.0,F,0,High,9,0
41,25 - 45,Male,African-American,0,0.0,M,0,Low,1,0
52,Greater than 45,Male,Caucasian,0,-1.0,F,0,Low,1,0
43,25 - 45,Male,Caucasian,13,0.0,F,1,Low,4,1
52,Greater than 45,Male,African-American,0,-1.0,F,0,Low,4,0
28,25 - 45,Male,Caucasian,1,-3.0,F,0,Low,1,0
30,25 - 45,Male,African-American,11,-1.0,M,1,High,9,1
28,25 - 45,Male,Caucasian,1,0.0,F,0,Medium,5,0
22,Less than 25,Male,African-American,0,-1.0,F,0,Low,4,0
30,25 - 45,Male,African-American,4,0.0,F,0,Low,2,0
25,25 - 45,Male,Hispanic,4,0.0,F,0,Low,4,0
31,25 - 45,Male,Caucasian,0,-1.0,F,1,High,8,1
37,25 - 45,Male,Caucasian,0,-1.0,F,1,Low,2,1
32,25 - 45,Male,African-American,14,-1.0,F,0,High,9,0
53,Greater than 45,Male,Caucasian,1,-1.0,M,0,Low,1,0
28,25 - 45,Male,African-American,25,29.0,F,1,High,8,1
44,25 - 45,Male,Caucasian,8,-1.0,M,1,Medium,5,1
25,25 - 45,Male,African-American,0,0.0,F,0,Low,3,0
22,Less than 25,Male,Caucasian,1,0.0,M,1,High,8,1
37,25 - 45,Female,Other,0,-1.0,M,0,Low,1,0
40,25 - 45,Female,Other,3,-1.0,F,0,Low,2,0
31,25 - 45,Female,Hispanic,0,-1.0,M,0,Low,2,0
23,Less than 25,Male,Hispanic,1,-1.0,F,1,Medium,6,1
23,Less than 25,Female,Caucasian,5,-1.0,F,1,Medium,5,1
24,Less than 25,Male,Hispanic,0,-3.0,M,0,High,8,0
29,25 - 45,Male,African-American,1,-1.0,M,0,Low,3,0
20,Less than 25,Male,African-American,1,-1.0,F,1,High,8,1
30,25 - 45,Male,African-American,2,-1.0,F,1,Medium,6,1
39,25 - 45,Male,Other,0,-1.0,F,0,Low,1,0
27,25 - 45,Male,African-American,4,-1.0,F,0,Low,4,0
37,25 - 45,Female,African-American,2,0.0,F,0,Low,1,0
20,Less than 25,Male,African-American,0,-1.0,F,0,High,8,0
22,Less than 25,Male,Hispanic,0,0.0,F,0,Medium,7,0
52,Greater than 45,Female,African-American,0,-1.0,F,0,Low,1,0
23,Less than 25,Female,African-American,0,-1.0,F,1,Low,4,1
48,Greater than 45,Female,African-American,0,-1.0,F,0,Low,2,0
25,25 - 45,Male,Caucasian,0,0.0,F,0,Medium,5,0
27,25 - 45,Male,Caucasian,0,-1.0,F,1,Medium,6,1
30,25 - 45,Male,African-American,11,0.0,F,1,Medium,7,1
22,Less than 25,Male,African-American,3,-1.0,M,1,High,10,1
22,Less than 25,Female,Caucasian,1,-1.0,F,0,Low,3,0
41,25 - 45,Female,African-American,2,-1.0,M,0,Low,3,0
25,25 - 45,Female,Other,0,-1.0,F,0,Low,2,0
52,Greater than 45,Male,African-American,3,0.0,F,1,Medium,6,1
43,25 - 45,Male,African-American,0,-1.0,F,0,Low,1,0
37,25 - 45,Male,Caucasian,3,-4.0,F,0,Low,1,0
70,Greater than 45,Male,Caucasian,1,-13.0,M,0,Low,1,0
46,Greater than 45,Male,Caucasian,3,-1.0,F,0,Low,4,0
21,Less than 25,Male,African-American,0,-1.0,M,1,High,9,1
26,25 - 45,Male,African-American,1,-1.0,M,1,High,8,1
38,25 - 45,Male,Hispanic,3,23.0,F,1,Low,1,1
34,25 - 45,Male,Caucasian,5,-1.0,M,0,Low,4,0
34,25 - 45,Male,African-American,5,-1.0,M,0,Low,4,0
23,Less than 25,Male,Caucasian,0,0.0,F,1,Medium,5,1
34,25 - 45,Male,African-American,5,-1.0,F,1,Low,4,1
39,25 - 45,Male,African-American,6,-1.0,F,1,Low,3,1
24,Less than 25,Male,Other,0,-1.0,F,0,Low,3,0
58,Greater than 45,Male,Caucasian,2,-1.0,F,0,Low,3,0
21,Less than 25,Female,African-American,0,0.0,M,0,Medium,6,0
23,Less than 25,Male,African-American,4,-11.0,M,1,High,8,1
62,Greater than 45,Male,Caucasian,0,0.0,F,0,Low,1,0
37,25 - 45,Male,Caucasian,5,-1.0,F,0,Low,3,0
43,25 - 45,Male,Other,2,-1.0,F,1,Low,2,1
32,25 - 45,Female,African-American,5,0.0,F,0,Low,1,0
23,Less than 25,Male,Hispanic,0,-1.0,F,0,Low,3,0
27,25 - 45,Male,African-American,0,0.0,M,0,Low,1,0
44,25 - 45,Male,Caucasian,0,-1.0,M,1,Low,1,1
28,25 - 45,Male,Caucasian,3,-1.0,M,1,Low,3,1
42,25 - 45,Female,Caucasian,0,-3.0,F,0,Low,2,0
24,Less than 25,Male,Other,9,-1.0,F,1,High,10,1
27,25 - 45,Male,African-American,0,0.0,F,0,Low,2,0
20,Less than 25,Male,African-American,0,-1.0,F,1,High,10,1
51,Greater than 45,Female,Caucasian,0,0.0,M,0,Low,1,0
56,Greater than 45,Male,Caucasian,0,0.0,M,0,Low,1,0
29,25 - 45,Male,African-American,7,-1.0,F,0,High,9,0
20,Less than 25,Male,African-American,0,-1.0,F,1,High,9,1
27,25 - 45,Male,Caucasian,8,-1.0,F,0,Medium,5,0
24,Less than 25,Male,African-American,2,-1.0,F,1,High,9,1
53,Greater than 45,Male,Caucasian,36,-7.0,F,1,Medium,6,1
28,25 - 45,Male,Caucasian,2,0.0,M,1,Low,3,1
21,Less than 25,Male,Hispanic,3,-22.0,F,1,Medium,5,0
36,25 - 45,Female,African-American,0,-1.0,F,0,Medium,7,0
25,25 - 45,Female,Caucasian,2,-2.0,M,1,Low,4,1
23,Less than 25,Female,Hispanic,1,0.0,M,1,Low,3,0
28,25 - 45,Male,Caucasian,1,-4.0,F,0,Medium,5,0
21,Less than 25,Female,African-American,0,-1.0,F,1,High,8,1
36,25 - 45,Male,Caucasian,0,-1.0,M,0,Low,3,0
24,Less than 25,Male,African-American,0,-1.0,F,0,Low,3,0
30,25 - 45,Male,Other,1,-1.0,F,1,Low,2,1
29,25 - 45,Male,African-American,0,-1.0,F,0,Low,1,0
30,25 - 45,Female,Caucasian,0,0.0,M,0,Medium,6,0
51,Greater than 45,Male,Hispanic,1,-1.0,M,0,Low,1,0
32,25 - 45,Male,African-American,12,-1.0,F,1,High,9,1
23,Less than 25,Male,African-American,1,0.0,F,0,Medium,6,0
47,Greater than 45,Male,African-American,3,0.0,F,0,Low,3,0
37,25 - 45,Male,Caucasian,0,-1.0,F,0,Low,1,0
19,Less than 25,Male,African-American,2,-1.0,F,1,High,10,1
27,25 - 45,Male,Hispanic,0,-1.0,M,0,High,8,0
39,25 - 45,Male,Other,0,-1.0,M,0,Low,1,0
21,Less than 25,Female,Caucasian,0,0.0,F,0,Medium,6,0
69,Greater than 45,Male,Caucasian,0,-1.0,M,0,Low,1,0
21,Less than 25,Male,Caucasian,2,-1.0,F,0,Medium,6,0
26,25 - 45,Male,African-American,6,0.0,M,1,High,10,1
22,Less than 25,Male,Caucasian,0,-2.0,F,0,Low,4,0
23,Less than 25,Female,African-American,0,-1.0,F,1,Medium,5,1
49,Greater than 45,Male,African-American,3,0.0,F,0,Medium,5,0
29,25 - 45,Male,African-American,2,-1.0,M,1,Low,4,0
60,Greater than 45,Female,Caucasian,0,-1.0,M,0,Low,1,0
23,Less than 25,Male,African-American,3,0.0,F,1,High,10,1
20,Less than 25,Female,Other,1,-21.0,F,0,Low,4,0
36,25 - 45,Male,Hispanic,1,0.0,F,0,Low,3,0
30,25 - 45,Male,Caucasian,0,0.0,F,0,Low,4,0
21,Less than 25,Male,African-American,1,-1.0,F,1,Low,3,0
22,Less than 25,Male,Caucasian,2,-1.0,M,1,Medium,6,1
21,Less than 25,Male,African-American,4,-1.0,F,1,High,9,1
21,Less than 25,Male,African-American,0,-1.0,F,1,Medium,5,1
34,25 - 45,Male,Caucasian,1,0.0,M,0,Low,1,0
50,Greater than 45,Female,Caucasian,1,-1.0,M,1,Low,1,1
40,25 - 45,Male,Caucasian,0,-1.0,F,1,Medium,7,1
25,25 - 45,Male,African-American,7,-1.0,F,1,High,8,1
53,Greater than 45,Female,Caucasian,1,-1.0,M,0,Low,1,0
24,Less than 25,Female,African-American,0,-1.0,F,0,Low,4,0
42,25 - 45,Male,African-American,1,-12.0,F,0,Low,1,0
28,25 - 45,Male,African-American,1,-1.0,M,0,Low,3,0
26,25 - 45,Male,African-American,6,-1.0,F,1,High,8,1
22,Less than 25,Male,African-American,4,-1.0,F,1,High,9,1
21,Less than 25,Male,Caucasian,3,-8.0,M,0,Medium,7,0
37,25 - 45,Male,African-American,23,-1.0,F,1,High,9,1
35,25 - 45,Male,African-American,2,-1.0,F,0,Medium,5,0
53,Greater than 45,Male,African-American,2,-1.0,F,0,Low,1,0
29,25 - 45,Male,African-American,7,-1.0,F,1,Low,4,0
48,Greater than 45,Male,Caucasian,23,-1.0,F,1,High,8,1
52,Greater than 45,Female,Caucasian,0,0.0,M,0,Low,1,0
27,25 - 45,Male,African-American,12,-1.0,F,1,High,8,1
28,25 - 45,Male,African-American,5,0.0,F,1,High,9,0
33,25 - 45,Male,Caucasian,3,0.0,M,0,Low,3,0
28,25 - 45,Female,Hispanic,0,-1.0,F,0,Low,2,0
36,25 - 45,Male,African-American,14,-1.0,F,1,Medium,7,1
29,25 - 45,Male,African-American,2,-1.0,F,0,Medium,5,0
22,Less than 25,Male,African-American,0,0.0,M,1,High,9,1
25,25 - 45,Male,Caucasian,0,0.0,F,0,Low,2,0
56,Greater than 45,Male,African-American,5,-1.0,F,0,Low,3,0
27,25 - 45,Male,African-American,9,-1.0,F,1,High,8,1
52,Greater than 45,Male,Caucasian,4,-1.0,F,1,Low,1,1
32,25 - 45,Male,African-American,3,0.0,F,0,Low,2,0
60,Greater than 45,Male,Other,4,-1.0,F,0,Low,1,0
23,Less than 25,Male,Hispanic,1,-5.0,M,0,Low,3,0
39,25 - 45,Female,Caucasian,0,-2.0,M,0,Medium,6,0
56,Greater than 45,Male,Caucasian,0,-1.0,M,0,Low,1,0
22,Less than 25,Female,African-American,0,0.0,F,0,Medium,7,0
53,Greater than 45,Male,African-American,11,-1.0,F,0,Medium,6,0
25,25 - 45,Male,Caucasian,0,0.0,M,1,Low,2,1
21,Less than 25,Male,Hispanic,0,0.0,M,0,Low,3,0
22,Less than 25,Male,Caucasian,0,-1.0,F,0,Low,3,0
58,Greater than 45,Female,Caucasian,2,-23.0,M,0,Low,1,0
31,25 - 45,Male,African-American,7,0.0,M,1,Low,3,1
22,Less than 25,Male,Caucasian,1,-1.0,F,1,Medium,5,1
28,25 - 45,Male,African-American,8,-1.0,F,1,Medium,6,1
42,25 - 45,Male,Other,1,-1.0,F,0,Low,1,0
20,Less than 25,Male,African-American,0,0.0,F,1,Medium,7,1
29,25 - 45,Male,Caucasian,0,0.0,M,1,Medium,6,1
58,Greater than 45,Male,African-American,21,-1.0,M,1,Medium,7,1
22,Less than 25,Male,African-American,3,-1.0,F,0,Medium,7,0
48,Greater than 45,Male,Hispanic,1,0.0,M,1,Low,1,1
37,25 - 45,Male,Caucasian,0,0.0,F,0,Low,4,0
57,Greater than 45,Male,African-American,1,-1.0,F,1,Medium,5,1
27,25 - 45,Male,Caucasian,3,-22.0,M,0,Low,1,0
26,25 - 45,Male,African-American,3,0.0,F,0,Low,4,0
24,Less than 25,Male,Caucasian,3,0.0,F,1,High,8,1
33,25 - 45,Male,Caucasian,0,-1.0,F,0,Low,1,0
29,25 - 45,Male,African-American,2,-1.0,F,0,Medium,6,0
24,Less than 25,Female,African-American,3,-1.0,F,1,High,10,1
19,Less than 25,Male,Caucasian,1,-1.0,F,1,High,10,1
36,25 - 45,Male,Caucasian,2,-1.0,M,0,Low,1,0
24,Less than 25,Female,Caucasian,0,0.0,F,0,Medium,5,0
34,25 - 45,Male,Caucasian,0,0.0,M,0,Low,1,0
25,25 - 45,Male,Hispanic,2,-1.0,F,1,Medium,5,1
20,Less than 25,Male,African-American,1,-1.0,F,1,High,10,1
24,Less than 25,Male,African-American,1,-1.0,M,1,Low,2,1
61,Greater than 45,Male,Caucasian,4,-1.0,F,0,Low,1,0
50,Greater than 45,Female,African-American,3,0.0,F,0,Low,2,0
30,25 - 45,Male,African-American,1,0.0,M,0,Low,1,0
38,25 - 45,Male,African-American,5,-1.0,F,0,Low,3,0
24,Less than 25,Male,Caucasian,0,-1.0,M,0,Low,1,0
46,Greater than 45,Female,African-American,2,-1.0,F,1,High,10,1
41,25 - 45,Male,Caucasian,0,-1.0,M,1,Low,1,1
20,Less than 25,Male,Other,0,-1.0,F,1,High,8,1
27,25 - 45,Male,African-American,13,-1.0,M,1,High,8,1
26,25 - 45,Male,African-American,1,-1.0,M,1,Medium,6,1
29,25 - 45,Male,African-American,3,0.0,F,1,Medium,5,1
52,Greater than 45,Male,Caucasian,6,-1.0,F,1,Medium,5,1
28,25 - 45,Male,Caucasian,1,0.0,F,1,Low,4,1
55,Greater than 45,Male,African-American,5,-1.0,F,1,Low,3,1
26,25 - 45,Male,African-American,10,-1.0,F,1,High,9,1
28,25 - 45,Male,African-American,5,-1.0,F,0,High,10,0
63,Greater than 45,Male,Caucasian,2,-3.0,F,0,Low,1,0
42,25 - 45,Male,African-American,0,0.0,F,0,Low,1,0
23,Less than 25,Male,African-American,6,-1.0,F,1,Medium,6,0
54,Greater than 45,Male,African-American,28,-1.0,F,1,High,9,1
35,25 - 45,Male,African-American,8,-1.0,F,1,Medium,7,1
24,Less than 25,Female,African-American,6,-1.0,F,1,High,9,1
54,Greater than 45,Male,African-American,2,-26.0,M,0,Low,1,0
58,Greater than 45,Male,African-American,12,-1.0,M,1,Medium,6,1
23,Less than 25,Male,Caucasian,1,0.0,M,1,Medium,5,1
35,25 - 45,Male,African-American,1,-1.0,M,0,Low,2,0
20,Less than 25,Male,African-American,1,0.0,F,1,High,10,1
51,Greater than 45,Male,Caucasian,0,0.0,F,0,Low,1,0
24,Less than 25,Male,Hispanic,0,0.0,F,0,High,10,0
37,25 - 45,Male,Caucasian,3,-14.0,F,0,Low,2,0
47,Greater than 45,Male,Caucasian,3,-1.0,F,0,Low,1,0
34,25 - 45,Male,Caucasian,4,-1.0,F,1,Medium,6,1
56,Greater than 45,Male,Caucasian,0,-2.0,F,0,Low,1,0
34,25 - 45,Male,Hispanic,4,-1.0,F,1,Low,1,1
59,Greater than 45,Male,Caucasian,1,-2.0,F,1,Low,1,1
35,25 - 45,Male,Asian,0,-1.0,F,0,Medium,6,0
58,Greater than 45,Male,Hispanic,1,-11.0,F,0,Low,1,0
29,25 - 45,Male,Hispanic,2,-26.0,M,0,Low,4,0
